// Skills.dat
//
// This datafile contains definitions of all of the 
// Skills this game has.  Skills must be members of a Skilltype
//
// This data gets parsed into the master_skill[] array, defined in data.vc
// The maximum number of items is controlled by MAX_SKILLS, defined in data.vc
//    please change this number of you wish to add more items than it currently 
//    allows.
//
// blank lines and commented lines are ignored.  Anything else will be treated as an entry.
//
// Entries go as follows:
//
// skill_group must reference entries by name in skilltypes.dat
// Any skill that is groupless (aim, focus, whatever) should have a - for skill group.
//
// useflag is either BATTLE, MENU, or BOTH.  Skills are not allowed to not have a valid usetype.
// Reflectflag is REFLECT, NULL, BOTH, NONE
//
// name		skill_group	icon	useflag	target_func	effect_func	MP	Charge	Delay	Reflectflag	"description"

Soul_Drain	Black_Magic	7 	BATTLE	targ_single_nme	temp_skill_func	3	50	75	BOTH		"Steal MP from an enemy."
Divide		Black_Magic	7 	BATTLE	targ_party_nme	temp_skill_func	9	75	75	BOTH		"Halves all enemies' HP."
Sleep		Black_Magic	7 	BATTLE	targ_single_nme	temp_skill_func	4	25	75	BOTH		"Good chance to put one enemy to sleep."
Stun		Black_Magic	7 	BATTLE	targ_single_nme	temp_skill_func	6	50	75	BOTH		"Good chance to paralyze one enemy."
Miasma		Black_Magic	7 	BATTLE	targ_party_nme	temp_skill_func	5	50	75	BOTH		"A toxic cloud poisons all enemies."
Dispossess	Black_Magic	7 	BATTLE	targ_single_nme	temp_skill_func	6	75	75	BOTH		"Attempt to steal from a single enemy."
Penultima	Black_Magic	7 	BATTLE	targ_single_nme	temp_skill_func	24	75	75	BOTH		"Second-best attack spell blasts a single enemy."
Fragile_All	Black_Magic	7 	BATTLE	targ_party_nme	temp_skill_func	12	50	75	BOTH		"Decreases all enemies' defense."
Depress_All	Black_Magic	7 	BATTLE	targ_party_nme	temp_skill_func	12	50	75	BOTH		"Decreases all enemies' magic resistamce."
Imbalance	Black_Magic	7 	BATTLE	targ_single_nme	temp_skill_func	10	75	75	BOTH		"Create an elemental weakness in an enemy."
Grave		Black_Magic	7 	BATTLE	targ_party_nme	temp_skill_func	6	25	75	BOTH		"Prevent all enemies from being revived."
Heal		White_Magic	7 	BOTH	LIVE_OC_targ	skill_wm_heal	6	50	75	BOTH		"Restores some HP to a single ally."
Aura_Heal	White_Magic	7 	BOTH	targ_party	temp_skill_func	12	75	75	BOTH		"Restores some HP to all allies."
Mega_Heal	White_Magic	7 	BOTH	targ_single	temp_skill_func	12	50	75	BOTH		"Restores a lot of HP to a single ally."
Full_Heal	White_Magic	7 	BOTH	targ_single	temp_skill_func	16	25	75	BOTH		"Completely heals a single ally."
Panacea		White_Magic	7 	BOTH	targ_single	temp_skill_func	6	50	75	BOTH		"Cures an ally's ailments."
Refresh		White_Magic	7 	BATTLE	targ_single	temp_skill_func	5	50	75	BOTH		"Restore an ally's reduced parameters."
Dispel		White_Magic	7 	BATTLE	targ_single_nme	temp_skill_func	15	75	75	NONE		"Remove most magical benefits from a single target."
Revive		White_Magic	7 	BOTH	targ_single_ko	temp_skill_func	12	50	75	BOTH		"Revive a fallen ally with 25% HP."
Mega_Revive	White_Magic	7 	BOTH	targ_single_ko	temp_skill_func	30	75	75	BOTH		"Revive a fallen ally with full HP."
Quicken		White_Magic	7 	BATTLE	targ_single	temp_skill_func	9	50	75	BOTH		"Improve a single ally's reaction time."
Might		White_Magic	7 	BATTLE	targ_single	temp_skill_func	6	25	75	BOTH		"Increase a single ally's attack power."
Enlighten	White_Magic	7 	BATTLE	targ_single	temp_skill_func	6	25	75	BOTH		"Increase a single ally's magic power."
Lifeline	White_Magic	7 	BATTLE	targ_single	temp_skill_func	12	75	75	BOTH		"Protect an ally from defeat."
Regen		White_Magic	7 	BATTLE	targ_single	temp_skill_func	7	50	75	BOTH		"A single ally regains HP slowly over time."
Shield		White_Magic	7 	BATTLE	targ_single	temp_skill_func	10	50	75	BOTH		"Protect a single ally against physical damage."
Barrier		White_Magic	7 	BATTLE	targ_single	temp_skill_func	10	50	75	BOTH		"Protect a single ally against magical damage."
Reflect		White_Magic	7 	BATTLE	targ_single	temp_skill_func	12	50	75	BOTH		"Reflect magic used on the target."
Seal		White_Magic	7 	BATTLE	targ_party_nme	temp_skill_func	4	25	75	BOTH		"Good chance to seal all enemies' special skills."
Slow		White_Magic	7 	BATTLE	targ_single_nme	temp_skill_func	8	25	75	BOTH		"Reduce a single enemy's reaction time."
Invisibility	White_Magic	7 	MENU	targ_none	temp_skill_func	25	0	0	NONE		"Conceal the party from roaming monsters."
Neon_Justice	White_Magic	7 	BATTLE	targ_party_nme	temp_skill_func	32	100	75	BOTH		"The light of judgment sears all enemies."
Punish		White_Magic	7 	BATTLE	targ_single_nme	temp_skill_func	5	50	75	BOTH		"Burn an enemy with holy light."
Quicken_All	White_Magic	7 	BATTLE	targ_party	temp_skill_func	18	75	75	BOTH		"Improve a all allies' reaction time."
Might_All	White_Magic	7 	BATTLE	targ_party	temp_skill_func	12	50	75	BOTH		"Increase all allies' attack power."
Enlighten_All	White_Magic	7 	BATTLE	targ_party	temp_skill_func	12	50	75	BOTH		"Increase all allies' magic power."
Regen_All	White_Magic	7 	BATTLE	targ_party	temp_skill_func	14	50	75	BOTH		"All allies regain HP slowly over time."
Shield_All	White_Magic	7 	BATTLE	targ_party	temp_skill_func	20	75	75	BOTH		"Protect all allies against physical damage."
Barrier_All	White_Magic	7 	BATTLE	targ_party	temp_skill_func	20	75	75	BOTH		"Protect all allies against magical damage."
Slow_All	White_Magic	7 	BATTLE	targ_party_nme	temp_skill_func	15	50	75	BOTH		"Reduce a all enemies' reaction time."
Ravish		Fuschia_Magic	7 	BATTLE	targ_single_nme	temp_skill_func	20	50	75	BOTH		"Bring an enemy to the brink of death."
Fabulous	Fuschia_Magic	7 	BATTLE	targ_single	temp_skill_func	24	25	75	BOTH		"Flawless style prevents all damage to one ally."
Sex_Bomb	Fuschia_Magic	7 	BATTLE	targ_party_nme	temp_skill_func	26	75	75	BOTH		"Charms all enemies with delicate beauty."
Redecorate	Fuschia_Magic	7 	BATTLE	targ_all	temp_skill_func	18	50	75	BOTH		"Tears down all ailments and magical effects on both parties."
Death_Magenta	Fuschia_Magic	7 	BATTLE	targ_party_nme	temp_skill_func	30	100	75	NONE		"The ultimate destructive magic annihilates all enemies."
Smoove		Jive		7 	BATTLE	targ_single_nme	temp_skill_func	18	50	75	NONE		"Put the moves on an enemy to get its items."
Strobe		Jive		7 	BATTLE	targ_party_nme	temp_skill_func	12	25	75	NONE		"Special effects dazzle all enemies."
Move_Buster	Jive		7 	BATTLE	targ_single_nme	temp_skill_func	8	0	100	NONE		"Dazzling combo attack based on style rather than strength."
Funky_Flow	Jive		7 	BATTLE	targ_self	temp_skill_func	6	0	100	NONE		"Smooth dance move speeds up caster."
Bling_Blast	Jive		7 	BATTLE	targ_single_nme	temp_skill_func	4	25	75	NONE		"You are so rich it hurts a single enemy."
Eagle_Eye	Trickery	7 	BATTLE	targ_single	temp_skill_func	4	25	75	BOTH		"Improves an ally's hit rate and critical chance."
Air_Guard	Trickery	7 	BATTLE	targ_single	temp_skill_func	4	25	75	BOTH		"Improves an ally's evasion."
Blind		Trickery	7 	BATTLE	targ_single_nme	temp_skill_func	4	25	75	BOTH		"Thick black smoke blinds a single enemy."
Tangle		Trickery	7 	BATTLE	targ_single_nme	temp_skill_func	4	25	75	NONE		"Snare an enemy, reducing its evasion."
Retreat		Trickery	7 	BATTLE	targ_party_ao	temp_skill_func	3	0	50	NONE		"Infallible escape maneuver."
Decoy		Trickery	7 	BATTLE	targ_self	temp_skill_func	0	0	50	NONE		"Switch places with an explosive double."
Backlash	Trickery	7 	BATTLE	targ_self	temp_skill_func	0	0	75	NONE		"Until next action, user viciously counters all attacks."
Sneak		Trickery	7 	MENU	targ_none	temp_skill_func	4	0	0	NONE		"Decrease the likelihood of encountering enemies."
Pillage		Trickery	7 	BATTLE	targ_single_nme	temp_skill_func	5	0	125	NONE		"Shake down an enemy for cash."
Jackpot		Trickery	7 	BATTLE	targ_single_nme	temp_skill_func	8	25	100	NONE		"Lucky physical attack against all enemies."
Firefox		Summon		7 	BATTLE	targ_party_nme	temp_skill_func	14	150	50	NONE		"Summon a fire elemental to burn and confuse all enemies."
Mozilla		Summon		7 	BATTLE	targ_party_nme	temp_skill_func	14	150	50	NONE		"Summon an ice elemental to freeze and seal all enemies."
Thunderbird	Summon		7 	BATTLE	targ_party_nme	temp_skill_func	14	150	50	NONE		"Summon a lightning elemental to shock and disable all enemies."
Joe		Summon		7 	BATTLE	targ_party_nme	temp_skill_func	21	150	50	NONE		"Summon the angel of light to strike down all enemies."
Glogy		Summon		7 	BATTLE	targ_party_nme	temp_skill_func	10	150	50	NONE		"Summon a spirit of bad luck to curse all enemies."
Sancho		Summon		7 	BATTLE	targ_party_nme	temp_skill_func	10	150	50	NONE		"Summon a spirit of woe to weaken all enemies."
Sword_Dance	Swordsmanship	7 	BATTLE	targ_single_nme	temp_skill_func	8	25	100	NONE		"Deliver a lethal flurry of blows."
Cleave		Swordsmanship	7 	BATTLE	targ_single_nme	temp_skill_func	3	0	100	NONE		"All-or-nothing deathblow."
Wave_Blade	Swordsmanship	7 	BATTLE	targ_party_nme	temp_skill_func	5	50	75	NONE		"Cut through all enemies in a single slash."
Counter		Swordsmanship	7 	BATTLE	targ_self	temp_skill_func	1	0	75	NONE		"Vastly improves user's counterattack rate."
Desperation	Swordsmanship	7 	BATTLE	targ_single_nme	temp_skill_func	8	25	100	NONE		"Deal damage to a single enemy equal to half the HP you have lost."
Flashblade	Swordsmanship	7 	BATTLE	targ_single_nme	temp_skill_func	6	0	50	NONE		"Ordinary attack made with blinding speed."
Stonewall	Swordsmanship	7 	BATTLE	targ_self	temp_skill_func	4	25	100	NONE		"Until next action, shrug off all damage."
Magic_Sword	Swordsmanship	7 	BATTLE	targ_single_nme	temp_skill_func	0	0	125	NONE		"Attack endured with magic resistance, not defense."
Dark_Spear	Shake_Spear	7 	BATTLE	targ_single_nme	temp_skill_func	0	25	100	NONE		"Make a crushing attack with an evil lance."
Brain_Stab	Shake_Spear	7 	BATTLE	targ_single_nme	temp_skill_func	0	0	100	NONE		"Attack an enemy's MP."
Blast_Quads	Shake_Spear	7 	BATTLE	targ_self	temp_skill_func	0	0	75	NONE		"Rigorous exercise regimen enhances own strength."
Frenzy		Shake_Spear	7 	BATTLE	targ_party_nme	temp_skill_func	0	25	100	NONE		"Deliver several blows against random enemies."
Armor_Break	Shake_Spear	7 	BATTLE	targ_single_nme	temp_skill_func	0	0	100	NONE		"Good chance to reduce an enemy's defense."
Rush		Shake_Spear	7 	BATTLE	targ_single_nme	temp_skill_func	0	0	100	NONE		"Powerful but inaccurate attack."
Impale		Shake_Spear	7 	BATTLE	targ_single_nme	temp_skill_func	0	150	75	NONE		"No enemy can survive this slow but lethal strike."
Monkeywrench	Gadgetry	7 	BATTLE	targ_single_nme	temp_skill_func	0	0	100	NONE		"An ordinary attack calculated to destroy mechanical enemies."
Grenade		Gadgetry	7 	BATTLE	targ_party_nme	temp_skill_func	5	0	100	NONE		"A powerful but inaccurate blast damages all enemies."
Hypno-Ray	Gadgetry	7 	BATTLE	targ_single_nme	temp_skill_func	3	50	75	NONE		"Scramble an enemy's brain. Somewhat unreliable..."
Scanner		Gadgetry	7 	BATTLE	targ_single_nme	temp_skill_func	0	0	50	NONE		"Detect an enemy's parameters."
Bazooka		Gadgetry	7 	BATTLE	targ_single_nme	temp_skill_func	16	50	75	NONE		"Fire an explosive missile at an enemy."
Self-Destruct	Gadgetry	7 	BATTLE	targ_party_nmeo	temp_skill_func	0	100	50	NONE		"Destroys user, dealing damage equal to her HP to all enemies."
Forcefield	Gadgetry	7 	BATTLE	targ_self	temp_skill_func	12	50	100	NONE		"Reduces all damage dealt to user."
Fire_Hose	Gadgetry	7 	BATTLE	targ_single_nmeo temp_skill_func	2	0	75	NONE		"Knocks an enemy right out of the fight."
Aim		-		7 	BATTLE	targ_single_nme	temp_skill_func	0	50	50	NONE		"Make an attack that never misses."
Guard		-		7 	BATTLE	targ_single	temp_skill_func	0	0	100	NONE		"Reduce the damage an ally takes until next action."
Slap		-		7 	BATTLE	targ_single_nme	temp_skill_func	0	0	100	NONE		"Oh no you didn't!"
Assist		-		7 	BATTLE	targ_single	temp_skill_func	0	0	0	NONE		"Help an ally take his turn immediately."
Think		-		7 	BATTLE	targ_self	temp_skill_func	0	0	75	NONE		"Deep thoughts enhance Dexter's magic power."
Funk		-		7 	BATTLE	targ_self	temp_skill_func	0	0	50	NONE		"I'm a woman's man, no time to talk."
HP_Bond		-		7 	BATTLE	targ_single_ao	temp_skill_func	0	0	50	NONE		"Average user's HP with another ally's."
MP_Bond		-		7 	BATTLE	targ_single_ao	temp_skill_func	0	0	50	NONE		"Average user's MP with another ally's."
Steal		-		7 	BATTLE	targ_single_nme	temp_skill_func	0	0	100	NONE		"Grab an enemy's loot."
Fortune		-		7 	BATTLE	targ_all	temp_skill_func	0	0	100	NONE		"Leave the outcome to the gods."
Cancel		-		7 	BATTLE	targ_single_nme	temp_skill_func	0	0	100	NONE		"Cancel an enemy's charging action."
Sweep		-		7 	BATTLE	targ_party_nme	temp_skill_func	0	0	100	NONE		"Lash out at every enemy at the same time."
Sunray		-		7 	BATTLE	targ_party_nme	temp_skill_func	0	100	100	NONE		"Release stored solar energy in a blast of fire."
Negate		-		7 	BATTLE	targ_self	temp_skill_func	0	0	50	NONE		"Sara surrounds herself with an antimagic field."
Charge		-		7 	BATTLE	targ_self	temp_skill_func	0	50	50	NONE		"Heal self. Works better the more HP you have lost."
Taser		-		7 	BATTLE	targ_single_nme	temp_skill_func	0	0	100	NONE		"An ordinary attack that deals magical electricity damage."
Neutro		-		7 	BATTLE	targ_self	temp_skill_func	0	0	75	NONE		"Reduce elemental damage to self."
Turbo		-		7 	BATTLE	targ_self	temp_skill_func	0	0	75	NONE		"Enhance own accuracy and evasion."
Attack		-		7 	BATTLE	targ_single_nme	temp_skill_func	0	0	100	NONE		"Strike an enemy with equipped weapon."
Defend		-		7	BATTLE	targ_self	temp_skill_func	0	0	75	NONE		"Reduce damage taken until next action."
Item		-		7	BATTLE	targ_single	temp_skill_func	0	0	100	NONE		"Use an item."
Run		-		7	BATTLE	targ_none	temp_skill_func	0	0	50	NONE		"Try to escape from battle."
Equip		-		7	BATTLE	targ_none	temp_skill_func	0	0	75	NONE		"Change equipment."
Curse		Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Lance gets seven years of bad luck all at once."
Snake_Eyes	Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Lance falls to 1 HP."
Antimagic	Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Prevent magic from affecting either allies or enemies."
Hat_Trick	Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Powerful tri-elemental attack."
Second_Wind	Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"The party's maladies are a distant memory."
Dud		Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Sorry, try again."
Clean_Slate	Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Reset the status of all allies and enemies."
Heat_Wave	Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Hot weather inflicts fire damage on all enemies."
Cold_Snap	Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Chilly weather inflicts ice damage on all enemies."
Thunderhead	Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Stormy weather inflicts electric damage on all enemies."
Pick-Me-Up	Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Heals the party slightly."
Ace_of_Spades	Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Unfortunate accidents befall some enemies."
Zero-Sum	Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Lance steals life from all enemies."
Tweak		Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Tweak!"
Anvil		Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Drop an anvil on an enemy."
Sweet_Dreams	Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Lull enemies to sleep."
Nirvana		Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Lance regains all his MP."
Payout		Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Pennies from heaven."
Punchy		Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"That's the way to do it!"
Sympathy	Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"All allies' HP are set equal to Lance's."
Lucky_Day	Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"All your hard work finally pays off."
Handicap	Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Cut your enemies down to size."
Time_Warp	Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"It's just a jump to the left..."
Backfire	Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"All allies take magical damage."
Chaos		Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Confuse everybody."
Rice_Up		Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Dump a whole bunch of positive effects on an ally."
Gold_Standard	Fortune		7 	BATTLE	targ_none	temp_skill_func	0	0	100	NONE		"Totally rejuvenate the entire party."
Quincunx	Swordsmanship	7	BATTLE	targ_single_nme	temp_skill_func	12	50	75	NONE		"Five-element ultimate attack."
Soul_Bleed	Shake_Spear	7	BATTLE	targ_single_nme	temp_skill_func	0	0	100	NONE		"Good chance to make an enemy bleed magic power."
Snuff_Spirit	Shake_Spear	7	BATTLE	targ_single_nme	temp_skill_func	0	0	125	NONE		"Crush an enemy that has few MP remaining."
Immunize	Gadgetry	7	BATTLE	targ_single	temp_skill_func 5	0	100	NONE		"Protect an ally from ailments."
Chaos_Orb	Gadgetry	7	BATTLE	omg_wtf_bbq	temp_skill_func	7	50	75	NONE		"I shot an arrow into the air..."


END_OF_FILE
